INDIV,species,locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,1 MU/g,ml of Dilution,,
VC1,T.c.,Wishon,5.6,186,254,1.437,1.21,1.324,25,0.0020006,1.565,84.57%,0.00001429,0.04,0.05,40.7
VC1,T.c.,Wishon,5.6,186,254,1.437,1.21,1.324,50,0.0040012,4.448,29.75%,,0.08,0.05,
VC1,T.c.,Wishon,5.6,186,254,1.437,1.21,1.324,100,0.0080024,5.658,23.39%,,0.08,0.1,
VC10,T.c.,Wishon,4.4,180,247,1.426,1.403,1.415,25,0.0015719,1.515,93.37%,,0.031,0.05,98.6
VC10,T.c.,Wishon,4.4,180,247,1.426,1.403,1.415,50,0.0031438,2.065,68.50%,,0.063,0.05,
VC10,T.c.,Wishon,4.4,180,247,1.426,1.403,1.415,100,0.0062876,2.862,49.42%,,0.063,0.1,
VC11,T.c.,Wishon,5.4,188,259,1.464,1.507,1.486,25,0.00192915,1.371,108.35%,,0.039,0.05,>100
VC11,T.c.,Wishon,5.4,188,259,1.464,1.507,1.486,50,0.0038583,1.762,84.31%,,0.077,0.05,
VC11,T.c.,Wishon,5.4,188,259,1.464,1.507,1.486,100,0.0077166,2.838,52.34%,,0.077,0.1,
VC12,T.c.,Wishon,4.3,182,252,1.177,1.424,1.301,25,0.001536175,,,66.00%,0.031,0.05,86
